XUSXEYAF=MO07:00-10:00,TU05:06-10:11,WE00:00-21:35,TH13:33-14:44,FR19:15-20:29,SA00:16-00:47,SU01:05-09:15,
ASGKBXEP=MO09:30-12:36,TU00:03-00:07,WE01:02-05:16,TH00:11-01:36,FR01:04-03:06,SA00:31-01:47,SU01:32-21:49,
QHLHMDWC=MO09:15-20:35,TU17:19-18:31,WE01:04-08:11,TH05:04-12:09,FR02:04-21:47,SA03:09-08:30,SU03:26-04:48,
IILCNKUJ=MO00:05-02:39,TU03:10-09:51,WE01:26-02:56,TH01:02-08:14,FR07:28-15:54,SA11:06-16:17,SU01:26-03:53,
INEVNOLG=MO00:11-00:14,TU00:00-03:09,WE11:05-15:10,TH05:18-07:26,FR00:31-01:53,SA13:35-14:40,SU12:05-22:08,
IRUXDZLH=MO09:16-10:44,TU12:39-15:56,WE02:12-03:50,TH07:42-13:53,FR06:01-12:06,SA00:00-01:01,SU06:26-20:29,
PEZPHASJ=MO03:35-15:46,TU00:03-01:52,WE09:03-16:35,TH01:00-02:04,FR04:31-10:51,SA02:11-11:14,SU02:24-06:41,
TZAPUFVN=MO00:41-00:58,TU00:04-06:05,WE09:21-11:30,TH04:04-11:12,FR01:01-02:22,SA04:06-08:09,SU03:01-04:05,
GZKBLNTN=MO00:41-01:44,TU04:03-15:11,WE06:14-07:19,TH00:07-08:13,FR09:00-16:00,SA00:00-01:27,SU00:05-01:40,
BXYKAXQX=MO01:03-02:04,TU00:13-00:26,WE00:25-12:44,TH15:06-22:17,FR07:40-12:52,SA00:10-01:23,SU03:23-12:52,
ZASXRAJA=MO07:22-10:27,TU04:27-11:34,WE05:17-09:45,TH10:19-12:35,FR11:43-13:54,SA02:01-07:23,SU14:06-15:31,
UTCDKXLD=MO06:07-12:57,TU09:45-13:50,WE08:15-18:21,TH09:21-12:25,FR06:01-07:49,SA08:12-10:26,SU10:18-19:54,
DZACGHBL=MO17:09-18:31,TU00:23-02:50,WE05:28-15:40,TH00:23-07:41,FR02:05-04:27,SA06:08-12:17,SU13:09-19:12,
TUHHHKOU=MO03:01-14:29,TU00:36-19:46,WE08:01-19:55,TH08:28-21:30,FR05:36-15:42,SA11:47-12:52,SU06:12-13:16,
JUTMUWEZ=MO01:14-10:33,TU11:12-18:40,WE00:04-00:17,TH06:13-09:21,FR00:00-00:06,SA03:53-06:56,SU00:20-00:24,
KPNXWSWI=MO02:11-03:36,TU01:08-02:25,WE02:07-11:09,TH14:04-20:05,FR01:25-16:26,SA00:12-01:42,SU17:40-20:56,
OBPZGBGK=MO06:20-16:33,TU07:29-11:39,WE05:16-07:41,TH11:12-17:18,FR01:21-07:41,SA01:02-03:19,SU05:08-06:42,
XOYXIMZX=MO09:04-20:11,TU09:13-14:39,WE02:01-11:58,TH00:11-20:37,FR04:03-12:42,SA00:03-00:06,SU02:10-11:24,
VJWJNPQL=MO04:29-14:32,TU05:06-10:14,WE11:17-22:49,TH15:05-16:36,FR04:09-16:16,SA17:19-18:21,SU08:30-21:44,
JGFXOZSW=MO12:05-21:08,TU05:13-20:41,WE00:03-02:55,TH00:01-02:06,FR00:31-11:47,SA06:16-17:18,SU01:05-02:31,
GCOPCDMY=MO11:01-18:02,TU13:24-20:44,WE01:07-05:09,TH01:49-08:54,FR01:00-08:27,SA02:05-03:38,SU10:12-13:13,
OVWTIZIE=MO06:20-13:26,TU00:30-06:40,WE06:30-09:48,TH06:12-10:22,FR00:10-22:33,SA18:04-22:45,SU00:00-09:10,
VPXYOONR=MO12:42-13:46,TU00:09-06:26,WE04:07-18:08,TH04:05-05:57,FR00:20-05:36,SA05:02-15:07,SU11:00-16:01,
QDNQXYCL=MO00:12-13:15,TU02:48-22:58,WE01:44-06:55,TH03:23-11:24,FR00:24-16:39,SA00:33-00:38,SU03:15-07:55,
IADOLWVZ=MO03:19-05:41,TU09:06-11:54,WE02:04-08:09,TH00:00-21:11,FR15:27-17:35,SA00:25-00:52,SU05:06-06:12,
LITGUPYF=MO00:23-01:25,TU02:19-05:43,WE05:00-17:00,TH10:00-12:04,FR02:06-04:22,SA10:21-19:24,SU05:12-18:37,
GNVIRWNZ=MO01:15-10:25,TU01:31-19:34,WE15:35-18:37,TH00:21-05:56,FR00:05-05:06,SA01:10-13:54,SU04:06-10:39,
UZZNHQMA=MO01:00-12:00,TU05:15-16:57,WE21:01-22:32,TH08:23-17:31,FR12:13-21:34,SA02:11-05:55,SU09:07-19:27,
BSWQEOEO=MO02:20-08:48,TU05:10-09:45,WE10:03-22:16,TH06:09-10:22,FR03:12-07:14,SA08:12-09:44,SU04:07-05:13,
VKRFXNBD=MO18:11-21:30,TU00:01-01:25,WE03:01-10:04,TH07:39-10:49,FR00:03-02:09,SA09:14-14:33,SU03:03-13:14,
QLHBQBSW=MO00:25-02:52,TU18:04-20:35,WE07:02-14:48,TH17:47-19:53,FR02:46-03:52,SA01:04-02:11,SU04:19-11:35,
MXYUBNAW=MO02:00-12:35,TU04:20-05:29,WE00:04-20:08,TH09:02-11:09,FR03:04-09:05,SA03:03-13:08,SU01:09-22:26,
KKOATPGU=MO10:22-12:41,TU03:11-10:48,WE11:22-13:46,TH03:07-09:21,FR02:00-04:16,SA01:06-09:40,SU00:29-02:45,
PAUDZEDO=MO06:04-09:09,TU08:30-22:50,WE00:29-00:31,TH05:36-20:44,FR00:30-01:44,SA01:17-08:20,SU07:31-10:52,
ZGXQUCQR=MO03:22-12:57,TU05:29-07:57,WE03:02-12:04,TH08:00-10:00,FR00:39-02:53,SA01:11-03:32,SU00:12-00:26,
VFCQCJLX=MO00:31-01:39,TU03:40-09:49,WE09:00-11:01,TH08:17-18:20,FR00:32-02:36,SA09:35-12:46,SU05:13-08:51,
SHLCMEJK=MO02:17-09:56,TU04:32-06:33,WE00:35-00:51,TH03:27-06:32,FR02:06-12:19,SA06:04-07:56,SU09:08-18:10,
NLUYMOHR=MO12:10-19:11,TU00:00-08:50,WE05:20-08:55,TH00:04-02:07,FR01:00-04:01,SA03:13-04:17,SU02:29-03:31,
KZBJNHPQ=MO03:13-11:23,TU05:42-14:56,WE00:00-18:18,TH03:00-14:02,FR08:25-09:34,SA02:06-10:13,SU02:04-10:05,
XZKYIPFR=MO16:07-21:31,TU01:14-05:40,WE02:01-03:29,TH06:07-10:11,FR00:16-18:31,SA20:00-21:15,SU00:00-22:09,
LGZVNSIJ=MO05:46-08:51,TU00:19-00:32,WE09:04-22:33,TH00:38-01:42,FR01:00-12:00,SA00:00-04:02,SU00:08-04:14,
UVHQUVMG=MO01:11-17:22,TU04:56-14:58,WE20:15-21:33,TH00:38-00:45,FR05:30-09:36,SA08:05-14:14,SU07:02-10:25,
NOPRXZKJ=MO01:09-19:50,TU04:11-06:31,WE10:04-18:48,TH07:20-10:34,FR14:17-21:45,SA00:01-01:48,SU00:44-03:53,
YIBQWPOL=MO00:41-00:46,TU10:18-19:37,WE01:06-10:44,TH00:37-01:51,FR10:06-17:49,SA06:10-09:24,SU12:09-13:16,
GRNFEIQI=MO02:00-03:00,TU09:09-21:12,WE10:14-16:15,TH12:35-21:40,FR01:00-03:17,SA06:06-20:12,SU02:03-07:05,
TAMGDFZP=MO01:30-11:56,TU00:00-00:01,WE00:04-00:08,TH00:13-01:22,FR00:33-02:42,SA00:11-02:19,SU03:00-07:02,
LVFTOIKK=MO00:44-00:57,TU16:24-19:49,WE07:42-09:43,TH12:16-17:18,FR03:23-05:32,SA02:04-08:10,SU00:06-02:11,
AKHJAIZY=MO00:12-13:17,TU09:27-19:33,WE19:26-20:39,TH06:39-08:50,FR04:03-07:04,SA15:13-22:31,SU03:29-10:33,
XEQAOCGW=MO04:03-06:05,TU01:04-02:22,WE00:22-02:25,TH05:01-18:04,FR09:36-17:42,SA04:37-21:47,SU00:07-20:13,
ESIGGCHR=MO05:10-08:15,TU01:07-13:15,WE03:25-06:27,TH00:01-05:27,FR11:14-12:15,SA06:08-12:51,SU05:09-08:11,
CRJBJLME=MO04:21-21:24,TU02:00-16:00,WE01:01-11:10,TH14:08-21:11,FR02:02-09:06,SA04:55-10:57,SU00:04-01:17,
DXLXDZSX=MO19:15-22:29,TU06:02-20:09,WE06:01-09:44,TH00:24-15:48,FR02:02-13:21,SA04:18-16:44,SU18:25-19:26,
XBMYFMZN=MO00:22-08:48,TU01:10-02:14,WE00:00-00:05,TH04:36-21:49,FR03:35-16:52,SA01:11-17:23,SU00:09-01:15,
JAJGHBKY=MO00:27-07:36,TU02:21-21:30,WE11:02-12:13,TH00:25-17:27,FR06:17-07:26,SA00:33-00:42,SU04:37-21:50,
FVONBHRH=MO01:00-11:01,TU02:15-03:47,WE05:03-19:11,TH00:25-21:54,FR06:42-19:44,SA00:02-09:10,SU02:04-10:14,
OPMXKRYZ=MO02:09-04:46,TU11:22-14:27,WE13:01-17:23,TH07:03-17:07,FR01:55-02:57,SA15:05-19:07,SU10:37-12:58,
VEKWTDYX=MO06:03-11:07,TU00:05-00:06,WE00:03-12:07,TH02:06-08:48,FR01:00-13:01,SA03:03-04:08,SU00:19-19:32,
EGBXRDRH=MO01:20-02:56,TU01:07-03:50,WE03:17-06:49,TH06:21-15:30,FR02:04-10:11,SA05:34-20:47,SU07:02-13:27,
DVYSPPDK=MO09:12-16:17,TU00:02-00:08,WE15:22-20:57,TH18:01-21:03,FR00:03-10:09,SA01:39-09:40,SU00:24-02:26,
YRRICNJD=MO17:01-20:46,TU13:14-18:58,WE00:00-05:33,TH00:20-00:33,FR00:06-07:53,SA01:34-14:54,SU19:36-21:56,
XOLBYMXT=MO02:09-04:55,TU00:11-05:27,WE05:04-10:38,TH05:19-21:50,FR09:03-20:33,SA17:14-18:31,SU07:20-08:23,
QLDXXCXM=MO16:06-17:15,TU01:14-06:41,WE15:12-21:56,TH05:07-12:26,FR04:11-17:16,SA02:47-07:50,SU01:05-08:55,
XHUFSCWX=MO01:14-07:26,TU18:07-19:49,WE01:22-06:30,TH02:07-18:08,FR02:29-19:41,SA01:02-02:05,SU03:07-22:40,
ZRQVNZYX=MO00:07-19:09,TU11:08-13:19,WE01:00-03:04,TH09:36-17:46,FR10:11-15:20,SA09:45-12:46,SU00:02-01:50,
TTCOJEBM=MO00:10-03:27,TU02:10-06:50,WE00:24-15:28,TH07:40-21:42,FR07:02-08:54,SA11:00-12:01,SU15:24-19:28,
BDEDPSXW=MO08:08-17:51,TU00:00-03:14,WE00:17-02:21,TH06:20-10:41,FR06:03-08:26,SA01:13-05:25,SU10:10-13:13,
JZXPEMWC=MO01:13-05:18,TU00:16-08:27,WE01:16-03:56,TH01:00-04:00,FR00:11-08:18,SA19:08-22:15,SU03:36-06:37,
XKSONYCA=MO00:14-01:23,TU17:20-19:31,WE01:04-21:17,TH04:02-10:14,FR00:05-04:30,SA09:01-17:19,SU00:24-03:34,
TPUDERPZ=MO06:04-16:05,TU03:25-06:43,WE00:00-00:00,TH01:20-03:22,FR14:13-19:44,SA13:05-15:09,SU00:36-11:45,
MXXESGWQ=MO00:11-01:43,TU08:05-19:47,WE01:21-15:31,TH03:30-05:37,FR00:03-00:05,SA01:29-04:48,SU05:26-22:39,
DXVNVQRL=MO12:09-17:18,TU00:28-03:44,WE05:03-12:27,TH00:01-04:28,FR01:23-02:50,SA07:18-19:47,SU00:08-01:36,
QQSRPWEM=MO02:34-07:54,TU11:03-13:04,WE00:05-02:19,TH06:03-10:15,FR08:38-10:40,SA06:35-07:58,SU03:08-04:46,
BFKRQIAA=MO00:14-01:30,TU06:40-09:58,WE03:08-08:58,TH05:02-14:04,FR02:03-05:04,SA03:37-09:43,SU00:00-05:02,
BTPRWEQU=MO00:01-01:55,TU00:08-01:39,WE06:04-13:14,TH00:35-00:40,FR03:04-04:11,SA16:09-17:10,SU04:00-09:19,
PIXPVYTJ=MO04:06-07:13,TU00:11-01:20,WE14:14-21:52,TH01:50-06:57,FR00:17-08:58,SA01:11-02:18,SU09:17-21:43,
XOKRHHWW=MO02:00-10:02,TU01:18-02:38,WE02:08-06:40,TH14:35-19:43,FR07:08-13:50,SA05:19-16:26,SU01:03-02:05,
XZEYMXHD=MO10:20-19:46,TU03:05-05:28,WE05:08-07:27,TH03:12-13:38,FR01:06-03:10,SA11:01-22:14,SU07:39-15:54,
NQJSBBOL=MO06:07-18:14,TU02:02-03:42,WE15:31-19:35,TH03:01-16:08,FR07:21-08:34,SA00:10-07:53,SU12:05-16:20,
YOATHWRX=MO09:24-10:38,TU01:02-08:05,WE10:01-11:05,TH03:17-04:44,FR00:03-01:13,SA00:24-18:30,SU02:19-12:24,
OSQGJJRF=MO07:38-18:49,TU06:16-07:18,WE16:09-21:12,TH00:35-19:50,FR03:06-05:08,SA06:12-14:17,SU08:30-19:34,
IDOTLZSO=MO00:24-01:35,TU05:00-08:12,WE11:04-20:26,TH00:14-01:16,FR18:15-19:20,SA02:20-08:40,SU03:07-05:57,
MXTXWPCE=MO02:00-08:03,TU05:19-08:31,WE03:09-04:36,TH05:03-19:22,FR08:34-11:54,SA14:15-17:24,SU10:11-15:24,
OXROJXLX=MO04:01-10:08,TU05:02-20:14,WE01:15-08:49,TH04:03-08:30,FR01:03-19:44,SA00:06-06:11,SU02:02-03:46,
YRWSAIRP=MO05:04-10:06,TU12:07-13:15,WE02:17-03:33,TH14:10-17:26,FR00:06-02:23,SA03:21-14:43,SU03:00-08:07,
VTXBXQMT=MO17:45-21:56,TU16:00-22:05,WE12:25-14:47,TH01:20-03:41,FR02:01-18:02,SA01:12-20:16,SU09:30-15:57,
EJQQGTIG=MO01:50-05:51,TU00:14-00:44,WE04:00-11:22,TH04:32-16:35,FR11:15-19:18,SA01:00-20:31,SU00:28-12:55,
VWJSHBON=MO00:01-00:05,TU03:00-18:01,WE00:02-02:34,TH01:01-06:02,FR06:01-10:02,SA03:00-21:01,SU07:32-15:36,
WNNGKQDS=MO02:18-22:37,TU11:26-14:43,WE00:45-02:53,TH17:22-21:40,FR06:30-09:33,SA04:12-18:13,SU12:01-14:10,
RXDYORQF=MO12:11-21:57,TU10:33-18:47,WE01:05-06:17,TH03:08-13:49,FR06:18-14:37,SA07:02-09:21,SU00:08-19:14,
THFBTWTY=MO08:30-16:45,TU00:03-00:04,WE01:04-04:06,TH00:12-08:33,FR07:43-09:45,SA12:09-16:10,SU06:24-12:43,
XEAEVUXW=MO13:00-16:04,TU04:01-18:05,WE05:18-06:20,TH06:18-10:39,FR02:04-20:18,SA01:03-03:58,SU06:00-13:02,
KPXNCFXY=MO02:00-05:16,TU09:31-17:54,WE10:04-22:27,TH00:28-02:29,FR01:00-06:03,SA00:06-08:11,SU00:06-21:22,
RTFTPHCG=MO08:33-15:45,TU00:23-00:27,WE13:33-17:42,TH06:27-22:46,FR04:08-05:11,SA04:08-06:10,SU14:04-22:14,
JGCSEOLN=MO00:36-01:40,TU03:20-05:21,WE08:10-21:20,TH01:14-05:25,FR04:08-17:43,SA00:22-10:58,SU01:30-02:40,
VTWZTGLH=MO07:14-22:23,TU12:00-21:32,WE10:37-17:58,TH02:32-06:38,FR00:27-03:51,SA17:18-21:23,SU16:06-21:07,
TNSQGJDE=MO01:17-22:58,TU03:41-09:49,WE06:41-11:43,TH12:37-18:41,FR02:07-03:10,SA04:37-18:43,SU09:00-11:14,
TEICQKPM=MO11:09-18:39,TU11:00-22:23,WE11:01-18:02,TH08:00-15:00,FR04:07-12:22,SA00:35-11:37,SU03:12-22:22,
EHMLKMMP=MO00:35-22:58,TU01:41-22:43,WE09:22-12:30,TH02:11-11:37,FR11:04-12:42,SA07:22-10:44,SU11:04-14:09,
IMFOROXR=MO10:00-19:00,TU16:00-19:01,WE00:06-02:49,TH02:22-09:54,FR01:24-03:54,SA03:08-05:27,SU14:46-18:57,
HBJZYIMS=MO04:06-12:13,TU00:05-12:09,WE01:01-10:03,TH08:03-21:53,FR06:07-07:16,SA06:05-12:47,SU10:06-19:08,
VRSVCDWH=MO02:08-11:19,TU00:19-04:22,WE07:00-12:01,TH07:23-13:45,FR05:11-06:32,SA03:06-06:19,SU01:00-08:12,
WATVGKEO=MO01:03-02:10,TU00:16-00:58,WE02:15-04:42,TH12:00-18:07,FR06:25-11:38,SA04:08-20:31,SU07:28-11:42,
VYHOUPKD=MO00:35-02:40,TU17:27-20:30,WE02:05-05:46,TH00:36-14:48,FR10:08-20:49,SA09:14-20:19,SU01:15-18:25,
BXXXXZSR=MO05:15-11:20,TU15:34-16:40,WE09:33-12:43,TH04:00-05:02,FR04:34-08:41,SA04:04-08:10,SU02:17-17:39,
SUPJYNIJ=MO02:04-21:43,TU04:01-15:07,WE10:02-16:03,TH09:08-14:22,FR03:01-16:22,SA01:20-02:28,SU00:49-00:57,
ILYKLOKZ=MO09:11-16:38,TU07:07-20:11,WE00:00-19:00,TH06:00-07:02,FR00:02-01:21,SA02:08-13:14,SU00:44-00:54,
QZZOXJAD=MO08:15-14:36,TU03:01-17:03,WE02:00-03:01,TH02:06-06:16,FR17:02-22:36,SA01:02-05:07,SU02:26-03:29,
RVTLJJAU=MO03:01-10:14,TU00:22-11:49,WE18:15-20:33,TH05:04-21:46,FR04:01-06:03,SA04:18-21:43,SU12:29-17:56,
QCXGDKFR=MO00:23-00:29,TU02:02-04:38,WE00:23-05:35,TH00:08-18:30,FR00:04-01:05,SA17:02-19:14,SU07:00-20:15,
IHGZWUGG=MO06:10-07:14,TU02:01-07:15,WE12:22-17:34,TH10:20-22:25,FR00:50-06:53,SA03:03-11:04,SU01:02-04:03,
GZRODDMU=MO21:00-22:02,TU02:17-20:27,WE00:08-00:09,TH02:07-03:13,FR00:02-00:06,SA00:00-01:05,SU20:19-21:33,
JWIRBVZS=MO04:08-07:52,TU03:10-15:34,WE00:50-03:54,TH03:17-16:35,FR04:06-05:07,SA19:35-22:42,SU14:17-21:44,
TSBXARBB=MO01:03-07:09,TU07:06-13:56,WE01:22-02:55,TH00:37-03:38,FR00:01-01:47,SA11:26-15:58,SU00:06-18:22,
JTCWJVZX=MO12:08-15:50,TU00:10-02:13,WE04:09-16:34,TH03:15-04:18,FR00:01-07:04,SA07:11-16:27,SU01:10-08:27,
JYYOJMWT=MO03:15-07:33,TU05:19-07:41,WE14:30-17:36,TH10:11-12:29,FR03:38-07:56,SA00:10-04:14,SU09:19-15:38,
TMQHHQUK=MO07:12-13:15,TU00:07-03:20,WE18:11-20:19,TH00:00-03:04,FR03:09-06:24,SA03:01-07:18,SU05:17-06:21,
BZZXRHXK=MO01:27-15:29,TU05:38-06:42,WE09:50-10:53,TH02:23-09:24,FR08:21-10:58,SA02:28-04:42,SU03:05-06:31,
JQMYGYTX=MO03:13-12:21,TU02:17-19:35,WE12:00-18:02,TH04:00-05:09,FR09:08-11:51,SA03:31-16:37,SU13:28-16:41,
MXHKFMEH=MO15:12-18:24,TU00:02-00:08,WE00:15-11:22,TH03:26-06:50,FR02:31-07:34,SA19:01-20:09,SU02:00-13:45,
NMJMXANT=MO01:05-05:31,TU16:16-21:30,WE08:11-13:18,TH01:05-04:47,FR02:00-07:05,SA00:01-00:15,SU00:12-12:16,
YWWAIUFK=MO19:11-20:58,TU05:13-15:16,WE04:26-16:55,TH00:10-04:45,FR00:10-01:12,SA06:03-21:12,SU03:02-07:11,
TIPUXHIR=MO00:16-13:45,TU05:00-06:08,WE21:16-22:51,TH05:06-07:23,FR05:55-07:56,SA13:02-15:25,SU04:26-21:33,
DJTJUVRL=MO04:09-05:12,TU04:30-10:46,WE00:21-10:37,TH21:05-22:28,FR01:04-07:27,SA04:00-11:50,SU04:00-19:01,
NONGQGKV=MO02:19-03:22,TU03:41-15:58,WE01:15-04:32,TH04:01-05:21,FR09:16-19:26,SA07:31-12:43,SU06:00-20:00,
WRZCWTAM=MO08:21-10:28,TU00:35-00:47,WE02:01-22:11,TH00:04-20:57,FR06:10-15:22,SA03:03-21:27,SU00:00-01:00,
PUEWYPOM=MO01:13-06:14,TU00:03-01:05,WE01:08-02:19,TH06:41-13:42,FR13:08-16:10,SA11:12-19:33,SU02:27-09:35,
BGPLVYLS=MO17:21-18:24,TU02:02-03:28,WE01:13-17:18,TH02:13-22:37,FR00:15-00:23,SA02:30-04:56,SU07:04-22:08,
GYNGPBRC=MO06:02-22:13,TU03:27-06:55,WE09:00-18:08,TH01:05-08:31,FR03:27-04:51,SA12:11-18:30,SU00:27-02:36,
VAWMXSXP=MO08:08-11:46,TU01:21-15:28,WE10:06-11:11,TH00:07-04:08,FR01:00-04:01,SA10:00-11:01,SU00:06-03:40,
BUCBBDHL=MO05:44-10:50,TU19:19-20:29,WE00:11-01:36,TH01:41-04:46,FR03:03-10:09,SA02:13-13:15,SU00:20-15:36,
VPQJTANX=MO03:44-10:50,TU01:43-02:45,WE03:05-05:23,TH14:00-16:08,FR01:25-22:44,SA03:08-14:27,SU01:33-20:47,
HXXKJJQU=MO00:18-00:29,TU08:07-18:16,WE04:22-05:24,TH01:12-10:50,FR03:00-06:01,SA07:24-16:48,SU05:15-13:22,
DZLUOJUZ=MO00:18-08:56,TU04:03-09:33,WE14:26-21:48,TH04:00-05:10,FR06:43-12:44,SA09:07-11:17,SU17:02-19:37,
BNWGWYJE=MO07:17-12:31,TU05:31-09:33,WE09:19-15:26,TH03:03-06:20,FR03:32-15:37,SA14:13-19:19,SU01:02-04:43,
YSYMVRVV=MO05:12-12:33,TU19:01-22:45,WE02:05-07:56,TH08:01-17:05,FR07:35-10:48,SA07:00-11:00,SU05:05-11:38,
POZTNBBB=MO09:17-16:30,TU03:16-08:39,WE04:15-07:28,TH08:16-19:24,FR08:28-12:32,SA01:01-06:09,SU04:00-11:40,
VMXSQGMW=MO03:03-04:24,TU10:15-12:55,WE07:00-21:00,TH12:00-18:18,FR03:30-09:44,SA02:10-05:46,SU07:52-11:57,
WHFWBRLT=MO04:09-07:13,TU03:44-14:55,WE00:01-00:18,TH00:01-08:53,FR07:01-14:47,SA05:29-20:54,SU14:04-19:29,
QEXIUPXE=MO01:00-09:02,TU06:01-15:06,WE02:22-05:28,TH19:17-22:43,FR13:16-14:21,SA06:25-07:31,SU14:01-16:14,
BLRYBLSH=MO04:05-11:07,TU02:02-03:33,WE02:06-09:16,TH05:03-20:04,FR04:07-09:32,SA15:27-18:36,SU04:23-06:58,
XKXNJJDF=MO05:36-22:53,TU05:09-18:19,WE00:00-00:06,TH04:11-06:41,FR02:08-03:09,SA08:03-10:12,SU10:00-17:00,
GPKNQKQM=MO08:08-20:37,TU01:17-06:53,WE05:00-07:03,TH01:00-05:00,FR01:08-09:27,SA06:00-14:13,SU12:31-13:35,
BPATZLUZ=MO00:00-01:03,TU04:09-13:12,WE07:01-09:05,TH01:45-16:54,FR00:06-21:47,SA00:04-05:10,SU13:09-20:22,
CXKJVSUH=MO00:01-00:33,TU11:03-14:15,WE07:01-12:02,TH08:01-18:02,FR01:29-09:57,SA05:04-06:26,SU01:01-02:11,
GOTYLFMY=MO00:44-13:56,TU02:23-03:36,WE07:02-11:04,TH07:23-18:41,FR07:04-19:30,SA05:21-11:56,SU05:14-06:23,
QSTXWJNF=MO01:17-07:38,TU03:36-06:44,WE06:15-15:22,TH01:27-09:32,FR00:11-01:32,SA01:06-10:48,SU10:15-19:31,
ZSRCGJXO=MO04:00-20:16,TU21:20-22:23,WE01:21-22:54,TH06:06-12:10,FR05:14-09:18,SA01:04-08:30,SU01:03-10:07,
HVRHBXSU=MO05:03-20:14,TU03:01-10:43,WE04:32-22:37,TH02:03-03:07,FR03:10-11:55,SA07:05-17:48,SU06:06-22:20,
ICSPFUHW=MO04:48-08:54,TU11:42-20:46,WE15:13-19:25,TH04:27-11:53,FR03:10-08:24,SA00:05-14:08,SU13:03-15:12,
KHVJPGGV=MO07:09-13:26,TU00:00-02:53,WE02:21-03:25,TH08:00-10:03,FR01:07-14:20,SA02:05-18:10,SU02:10-17:13,
NTWFRQJM=MO15:00-18:01,TU02:03-03:11,WE17:45-19:52,TH04:00-12:00,FR04:25-16:38,SA09:07-16:49,SU06:14-12:18,
BKBQPEHY=MO01:01-12:26,TU01:25-02:27,WE03:50-05:57,TH00:03-01:14,FR01:05-03:46,SA12:15-13:42,SU07:34-11:48,
IRCEUDTT=MO03:13-04:17,TU03:00-07:00,WE03:00-19:05,TH03:14-05:44,FR14:09-22:16,SA01:04-09:55,SU08:05-09:44,
MFAMKHNE=MO02:24-03:30,TU01:28-05:45,WE01:33-05:50,TH20:24-21:28,FR08:01-21:08,SA13:01-19:11,SU00:12-10:46,
PWBMTKCB=MO13:29-14:53,TU05:01-10:04,WE17:02-18:14,TH03:17-05:19,FR06:52-17:57,SA01:07-15:25,SU01:07-03:53,
HTNAEUCS=MO16:44-17:52,TU03:03-04:08,WE00:26-00:46,TH11:34-14:38,FR02:19-06:38,SA04:09-21:55,SU02:13-10:18,
OYSGCZXE=MO06:14-07:55,TU07:32-10:33,WE03:00-10:16,TH00:18-02:29,FR02:04-03:07,SA05:19-06:26,SU00:05-04:08,
QKDRXPVO=MO01:21-03:51,TU07:12-22:16,WE00:27-03:55,TH01:08-05:57,FR03:04-19:22,SA20:27-21:36,SU05:29-16:52,
OMXCZVFX=MO01:00-17:01,TU06:01-13:02,WE00:31-15:55,TH03:42-04:48,FR03:12-06:33,SA04:28-18:34,SU07:16-10:38,
BYUOOPRW=MO01:10-13:22,TU00:29-17:41,WE12:16-19:41,TH07:13-08:38,FR06:03-08:46,SA09:11-12:12,SU05:09-08:23,
FRXKLPIM=MO05:25-09:28,TU05:01-20:19,WE04:19-12:37,TH08:15-10:35,FR09:07-21:21,SA04:27-12:46,SU10:15-15:44,
PXMVQOSN=MO08:01-15:20,TU00:18-10:34,WE00:07-06:15,TH01:00-03:00,FR13:19-18:29,SA01:11-02:23,SU14:10-16:27,
ZFWRLLFQ=MO00:02-16:30,TU05:12-15:37,WE04:18-16:49,TH00:00-01:00,FR06:09-11:49,SA05:06-08:15,SU03:06-04:10,
BYZPHQGX=MO17:05-18:27,TU11:03-15:29,WE10:00-16:09,TH08:05-20:09,FR00:02-01:22,SA07:01-17:13,SU03:00-20:01,
XSGNGIUV=MO04:09-07:21,TU12:09-17:32,WE01:01-16:07,TH00:01-01:26,FR02:19-22:49,SA07:00-22:04,SU00:15-01:35,
XRCXRNEW=MO03:14-07:30,TU03:31-12:38,WE00:01-02:04,TH10:12-19:53,FR05:45-06:47,SA01:18-03:55,SU09:09-11:21,
HUKOXMBE=MO02:00-08:48,TU02:14-09:58,WE01:06-09:23,TH01:12-02:22,FR13:06-16:58,SA06:02-19:09,SU00:03-01:13,
EWLTEQHE=MO00:02-01:25,TU01:23-09:33,WE00:00-04:00,TH00:05-07:10,FR09:02-11:04,SA00:00-00:02,SU08:14-20:16,
KGGLSGXB=MO06:03-08:06,TU01:12-08:27,WE05:17-08:20,TH11:01-15:02,FR00:20-00:33,SA11:08-19:36,SU00:29-02:30,
ETBTTOSR=MO02:24-07:30,TU02:14-10:21,WE00:07-01:28,TH00:16-18:33,FR11:00-19:00,SA07:00-22:03,SU08:01-21:49,
JBONLMVD=MO10:35-17:48,TU04:29-09:54,WE09:07-14:27,TH12:06-14:18,FR05:03-08:07,SA10:12-11:13,SU07:00-21:07,
ENBNOIHU=MO05:05-21:08,TU03:10-04:33,WE02:47-06:56,TH00:30-01:38,FR15:37-19:47,SA06:12-09:43,SU05:13-12:46,
KSXOLBLX=MO10:14-12:49,TU16:33-18:55,WE10:01-20:11,TH03:08-04:09,FR07:00-20:06,SA00:01-05:02,SU08:50-17:58,
EGWXEVVI=MO02:51-09:53,TU00:00-00:01,WE10:01-16:27,TH13:01-22:42,FR06:09-08:44,SA02:02-14:03,SU05:07-06:41,
THHVTBMW=MO02:18-17:35,TU00:08-00:36,WE11:16-12:37,TH08:34-09:54,FR00:00-04:34,SA02:07-05:11,SU06:08-20:15,
